pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
McKay,EC_970,0.5,Chla,A,McKay_EC_970_0.5_Chla_A,0.524469213,ug.L,0.025,
McKay,EC_970,0.5,Chla,B,McKay_EC_970_0.5_Chla_B,NA,ug.L,0.025,No filter
McKay,ER_78M,0.5,Chla,A,McKay_ER_78M_0.5_Chla_A,13.66646921,ug.L,0.025,
McKay,ER_78M,0.5,Chla,B,McKay_ER_78M_0.5_Chla_B,13.56646921,ug.L,0.025,
McKay,ER_78M,0.5,Chla,C,McKay_ER_78M_0.5_Chla_C,16.14646921,ug.L,0.025,
McKay,ER_91M,0.5,Chla,A,McKay_ER_91M_0.5_Chla_A,1.474469213,ug.L,0.025,
McKay,ER_91M,0.5,Chla,B,McKay_ER_91M_0.5_Chla_B,NA,ug.L,0.025,No filter
Pearce/Xenopolous,GB1,0.45,Chla,A,Pearce/Xenopolous_GB1_0.45_Chla_A,2.388724344,ug.L,0.025,
Pearce/Xenopolous,GB1,0.45,Chla,B,Pearce/Xenopolous_GB1_0.45_Chla_B,1.338724344,ug.L,0.025,
Pearce/Xenopolous,GB1,7,Chla,A,Pearce/Xenopolous_GB1_7_Chla_A,0.518724344,ug.L,0.025,
Pearce/Xenopolous,GB1,7,Chla,B,Pearce/Xenopolous_GB1_7_Chla_B,0.392057677,ug.L,0.025,
McKay,GR001,0.5,Chla,A,McKay_GR001_0.5_Chla_A,NA,ug.L,0.025,No filter
McKay,GR001,0.5,Chla,B,McKay_GR001_0.5_Chla_B,NA,ug.L,0.025,No filter
Ozersky,Green_Bay,0.5,Chla,A,Ozersky_Green_Bay_0.5_Chla_A,4.672057677,ug.L,0.025,
Ozersky,Green_Bay,0.5,Chla,B,Ozersky_Green_Bay_0.5_Chla_B,5.205391011,ug.L,0.025,
Ozersky,Green_Bay,5,Chla,A,Ozersky_Green_Bay_5_Chla_A,8.988724344,ug.L,0.025,
Ozersky,Green_Bay,5,Chla,B,Ozersky_Green_Bay_5_Chla_B,8.888724344,ug.L,0.025,
Vick-Majors,Keweenaw_Bay_KB,0.5,Chla,A,Vick-Majors_Keweenaw_Bay_KB_0.5_Chla_A,0.262057677,ug.L,0.025,
Vick-Majors,Keweenaw_Bay_KB,0.5,Chla,B,Vick-Majors_Keweenaw_Bay_KB_0.5_Chla_B,NA,ug.L,0.025,No filter
Vick-Majors,Keweenaw_Bay_KB,17.5,Chla,A,Vick-Majors_Keweenaw_Bay_KB_17.5_Chla_A,0.217057677,ug.L,0.025,
Vick-Majors,Keweenaw_Bay_KB,17.5,Chla,B,Vick-Majors_Keweenaw_Bay_KB_17.5_Chla_B,0.183724344,ug.L,0.025,
Vick-Majors,Keweenaw_Waterway_KW,0.5,Chla,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_Chla_A,0.042488845,ug.L,0.025,
Vick-Majors,Keweenaw_Waterway_KW,0.5,Chla,B,Vick-Majors_Keweenaw_Waterway_KW_0.5_Chla_B,0.049105012,ug.L,0.025,
Vick-Majors,Keweenaw_Waterway_KW,5.5,Chla,A,Vick-Majors_Keweenaw_Waterway_KW_5.5_Chla_A,0.301929072,ug.L,0.025,
Vick-Majors,Keweenaw_Waterway_KW,5.5,Chla,B,Vick-Majors_Keweenaw_Waterway_KW_5.5_Chla_B,0.279492509,ug.L,0.025,
McGregor/Twiss,LC_Little_Current,0,Chla,A,McGregor/Twiss_LC_Little_Current_0_Chla_A,0.188724344,ug.L,0.025,
McGregor/Twiss,LC_Little_Current,0,Chla,B,McGregor/Twiss_LC_Little_Current_0_Chla_B,0.247057677,ug.L,0.025,
Eveleth,Lorain,0.2,Chla,A,Eveleth_Lorain_0.2_Chla_A,7.022057677,ug.L,0.025,
Eveleth,Lorain,0.2,Chla,B,Eveleth_Lorain_0.2_Chla_B,2.804620866,ug.L,0.025,
Eveleth,Lorain,2,Chla,A,Eveleth_Lorain_2_Chla_A,0.060057677,ug.L,0.025,
Eveleth,Lorain,2,Chla,B,Eveleth_Lorain_2_Chla_B,0.217057677,ug.L,0.025,
McKay,LSC-MB,1,Chla,A,McKay_LSC-MB_1_Chla_A,1.786469213,ug.L,0.025,
McKay,LSC-MB,1,Chla,B,McKay_LSC-MB_1_Chla_B,NA,ug.L,0.025,No filter
McKay/Bullerjahn,NB22-002,0.5,Chla,A,McKay/Bullerjahn_NB22-002_0.5_Chla_A,6.052938426,ug.L,0.025,
McKay/Bullerjahn,NB22-002,0.5,Chla,B,McKay/Bullerjahn_NB22-002_0.5_Chla_B,NA,ug.L,0.025,No filter
McKay/Bullerjahn,NB22-003,0.5,Chla,A,McKay/Bullerjahn_NB22-003_0.5_Chla_A,1.016938426,ug.L,0.025,
McKay/Bullerjahn,NB22-003,0.5,Chla,B,McKay/Bullerjahn_NB22-003_0.5_Chla_B,NA,ug.L,0.025,No filter
McKay/Bullerjahn,NB22-004,0.5,Chla,A,McKay/Bullerjahn_NB22-004_0.5_Chla_A,1.312938426,ug.L,0.025,
McKay/Bullerjahn,NB22-004,0.5,Chla,B,McKay/Bullerjahn_NB22-004_0.5_Chla_B,NA,ug.L,0.025,No filter
McKay,NB22-005,0.5,Chla,A,McKay_NB22-005_0.5_Chla_A,NA,ug.L,0.025,
McKay,NB22-005,0.5,Chla,B,McKay_NB22-005_0.5_Chla_B,NA,ug.L,0.025,
McKay,NB22-006,0.5,Chla,A,McKay_NB22-006_0.5_Chla_A,NA,ug.L,0.025,
McKay,NB22-006,0.5,Chla,B,McKay_NB22-006_0.5_Chla_B,NA,ug.L,0.025,
McKay,NB22-007,0.5,Chla,A,McKay_NB22-007_0.5_Chla_A,NA,ug.L,0.025,
McKay,NB22-007,0.5,Chla,B,McKay_NB22-007_0.5_Chla_B,NA,ug.L,0.025,
Bramburger,Ontario_-_St._Catharines,1,Chla,A,Bramburger_Ontario_-_St._Catharines_1_Chla_A,NA,ug.L,0.025,No filter
Bramburger,Ontario_-_St._Catharines,1,Chla,B,Bramburger_Ontario_-_St._Catharines_1_Chla_B,NA,ug.L,0.025,No filter
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,Chla,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_Chla_A,0.183724344,ug.L,0.025,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,Chla,B,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_Chla_B,0.395391011,ug.L,0.025,
Depew,Parry_Sound_Georgian_Bay,1,Chla,A,Depew_Parry_Sound_Georgian_Bay_1_Chla_A,1.011028839,ug.L,0.025,
Depew,Parry_Sound_Georgian_Bay,1,Chla,B,Depew_Parry_Sound_Georgian_Bay_1_Chla_B,0.894362172,ug.L,0.025,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,Chla,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_Chla_A,1.082057677,ug.L,0.025,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,Chla,B,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_Chla_B,1.625391011,ug.L,0.025,
Zastepa,RW_Ridgeway_Abino_Bay,1,Chla,A,Zastepa_RW_Ridgeway_Abino_Bay_1_Chla_A,0.462057677,ug.L,0.025,
Zastepa,RW_Ridgeway_Abino_Bay,1,Chla,B,Zastepa_RW_Ridgeway_Abino_Bay_1_Chla_B,0.403724344,ug.L,0.025,
Karpovich,Saginaw_River,0.3,Chla,A,Karpovich_Saginaw_River_0.3_Chla_A,1.688724344,ug.L,0.025,
Karpovich,Saginaw_River,0.3,Chla,B,Karpovich_Saginaw_River_0.3_Chla_B,1.922057677,ug.L,0.025,
Doubek,Saint_Martin_Bay_SM-LH,1,Chla,A,Doubek_Saint_Martin_Bay_SM-LH_1_Chla_A,0.178724344,ug.L,0.025,
Doubek,Saint_Martin_Bay_SM-LH,1,Chla,B,Doubek_Saint_Martin_Bay_SM-LH_1_Chla_B,0.175391011,ug.L,0.025,
Doubek,Saint_Martin_Bay_SM-LH,8.5,Chla,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_Chla_A,0.242482896,ug.L,0.025,
Doubek,Saint_Martin_Bay_SM-LH,8.5,Chla,B,Doubek_Saint_Martin_Bay_SM-LH_8.5_Chla_B,0.205391011,ug.L,0.025,
Bullerjahn/McKay,Sandusky_Bay,1,Chla,A,Bullerjahn/McKay_Sandusky_Bay_1_Chla_A,6.812938426,ug.L,0.025,integrated
Bullerjahn/McKay,Sandusky_Bay,1,Chla,B,Bullerjahn/McKay_Sandusky_Bay_1_Chla_B,NA,ug.L,0.025,No filter
Bullerjahn/McKay,Sandusky_Bay,0.5,Chla,A,Bullerjahn/McKay_Sandusky_Bay_0.5_Chla_A,NA,ug.L,0.025,No filter
Bullerjahn/McKay,Sandusky_Bay,0.5,Chla,B,Bullerjahn/McKay_Sandusky_Bay_0.5_Chla_B,NA,ug.L,0.025,No filter
Godwin,SB14,3,Chla,A,Godwin_SB14_3_Chla_A,2.838724344,ug.L,0.025,
Godwin,SB14,3,Chla,B,Godwin_SB14_3_Chla_B,2.788724344,ug.L,0.025,
Godwin,SB1,0.7,Chla,A,Godwin_SB1_0.7_Chla_A,3.138724344,ug.L,0.025,
Godwin,SB1,0.7,Chla,B,Godwin_SB1_0.7_Chla_B,3.105391011,ug.L,0.025,
Godwin,SB14,0.7,Chla,A,Godwin_SB14_0.7_Chla_A,3.055391011,ug.L,0.025,
Godwin,SB14,0.7,Chla,B,Godwin_SB14_0.7_Chla_B,3.488724344,ug.L,0.025,
Rennie,Silver_Harbour_Thunder_Bay,0,Chla,A,Rennie_Silver_Harbour_Thunder_Bay_0_Chla_A,NA,ug.L,0.025,1 paper filter; no volume on the tube
Rennie,Silver_Harbour_Thunder_Bay,0,Chla,B,Rennie_Silver_Harbour_Thunder_Bay_0_Chla_B,NA,ug.L,0.025,1 paper filter; no volume on the tube
Rennie,Silver_Harbour_Thunder_Bay,10,Chla,A,Rennie_Silver_Harbour_Thunder_Bay_10_Chla_A,NA,ug.L,0.025,No volume on the tube
Rennie,Silver_Harbour_Thunder_Bay,10,Chla,B,Rennie_Silver_Harbour_Thunder_Bay_10_Chla_B,NA,ug.L,0.025,No volume on the tube
Chaffin,South_Bass_Island,0.5,Chla,A,Chaffin_South_Bass_Island_0.5_Chla_A,1.043724344,ug.L,0.025,
Chaffin,South_Bass_Island,0.5,Chla,B,Chaffin_South_Bass_Island_0.5_Chla_B,1.303724344,ug.L,0.025,
Chaffin,South_Bass_Island,9,Chla,A,Chaffin_South_Bass_Island_9_Chla_A,0.245391011,ug.L,0.025,
Chaffin,South_Bass_Island,9,Chla,B,Chaffin_South_Bass_Island_9_Chla_B,0.757057677,ug.L,0.025,
Twiss,U17,0,Chla,A,Twiss_U17_0_Chla_A,1.290469213,ug.L,0.025,
Twiss,U17,0,Chla,B,Twiss_U17_0_Chla_B,0.777057677,ug.L,0.025,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,Chla,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_Chla_A,1.988724344,ug.L,0.025,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,Chla,B,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_Chla_B,1.422057677,ug.L,0.025,
Vanderploeg,WE6,0.25,Chla,A,Vanderploeg_WE6_0.25_Chla_A,3.844115355,ug.L,0.025,
Vanderploeg,WE6,0.25,Chla,B,Vanderploeg_WE6_0.25_Chla_B,3.047448688,ug.L,0.025,
Vanderploeg,WE6,2.7,Chla,A,Vanderploeg_WE6_2.7_Chla_A,6.551335648,ug.L,0.025,
Vanderploeg,WE6,2.7,Chla,B,Vanderploeg_WE6_2.7_Chla_B,6.642244739,ug.L,0.025,
Doubek,Whitefish_Bay_WB-LS,1,Chla,A,Doubek_Whitefish_Bay_WB-LS_1_Chla_A,0.850335152,ug.L,0.025,
Doubek,Whitefish_Bay_WB-LS,1,Chla,B,Doubek_Whitefish_Bay_WB-LS_1_Chla_B,0.593724344,ug.L,0.025,
Doubek,Whitefish_Bay_WB-LS,9,Chla,A,Doubek_Whitefish_Bay_WB-LS_9_Chla_A,0.450391011,ug.L,0.025,
Doubek,Whitefish_Bay_WB-LS,9,Chla,B,Doubek_Whitefish_Bay_WB-LS_9_Chla_B,0.710391011,ug.L,0.025,
Zastepa,WP_Waverly_Beach_Park,1,Chla,A,Zastepa_WP_Waverly_Beach_Park_1_Chla_A,0.262057677,ug.L,0.025,
Zastepa,WP_Waverly_Beach_Park,1,Chla,B,Zastepa_WP_Waverly_Beach_Park_1_Chla_B,0.337057677,ug.L,0.025,
