SITENAME,Date,Plot,Plot_Size,Species,Shell_Height,Shell_Width,Wet_Weight,AFDW
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,18.6,17.7,2.401,237
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,23.1,22.4,3.967,735.4
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,19.7,18.2,2.466,312.6
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,20.3,19.1,2.843,363.6
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,21.3,20.4,3.205,467.6
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,20.3,17.4,2.507,363.6
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,20.2,17.8,2.706,354.5
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,18.5,18.4,2.399,231.1
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,18.5,17.1,2.117,231.1
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,17.4,18.4,2.135,175.3
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,17.9,15.9,1.894,198.8
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,19.6,17.3,2.25,304.8
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,21,19.2,3.074,433.6
Rabbit Key Basin,2000-03-23,1,1,Turbo castanea,20.3,19.9,2.821,363.6
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,21,18.8,3.151,433.6
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,19.6,17.9,2.353,304.8
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,19,18.5,2.465,262.1
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,18.8,19,2.471,249.3
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,19.1,17.7,2.299,268.8
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,20.8,19,3.006,412.3
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,18.2,17.8,2.297,214.3
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,18.9,18.7,2.601,255.6
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,19.4,18.3,2.506,289.9
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,20.1,19.3,2.84,345.7
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,20,18.6,2.626,337.1
Rabbit Key Basin,2000-03-23,2,1,Turbo castanea,18.4,16.8,1.864,225.4
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,19,18.5,2.328,262.1
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,20.3,19.4,2.853,363.6
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,18.8,17.9,2.356,249.3
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,18.7,18.4,2.414,243.1
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,22.6,20.5,3.548,648.5
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,20.3,19.2,2.695,363.6
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,17.4,15.5,1.671,175.3
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,19.3,18.5,2.504,282.7
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,20.5,18.9,2.877,382.3
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,20.1,19.5,3.076,345.7
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,17.7,16.5,1.834,189
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,17.4,15.5,1.89,175.3
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,18.3,18.1,1.957,219.8
Rabbit Key Basin,2000-03-23,3,1,Turbo castanea,18.4,18.5,2.251,225.4
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,18.7,17.2,2.16,243.1
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.2,17.6,2.415,275.7
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.1,17.9,2.463,268.8
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.9,18.8,2.597,328.7
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.2,17.9,2.351,275.7
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20.8,19.2,2.85,412.3
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,21.5,19.3,3.247,491.7
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,21.5,19.9,3.118,491.7
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.4,19.5,2.774,289.9
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20.3,19.1,2.793,363.6
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,21.1,21.6,3.697,444.6
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,21,19.6,3.155,433.6
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20.8,19.8,3.114,412.3
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20.2,18.7,3.071,354.5
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20,18.3,2.7,337.1
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.1,18.3,2.501,268.8
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,17.7,16.3,1.851,189
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,20.8,18.3,2.921,412.3
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.1,16.6,2.127,268.8
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19,18,2.47,262.1
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.1,17.9,2.411,268.8
Rabbit Key Basin,2000-03-23,4,1,Turbo castanea,19.1,18.2,2.348,268.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,20.2,19,2.907,354.5
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19,17.8,2.248,262.1
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18.7,17.5,2.134,243.1
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18.1,17.5,2.148,209
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19,17.3,2.298,262.1
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19,17.2,2.533,262.1
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,20.8,19.6,3.155,412.3
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18.9,17.6,2.416,255.6
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18,17.5,2.124,203.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,20.1,17.2,2.423,345.7
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19.3,17,2.319,282.7
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,20.9,17.6,2.57,422.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19.6,18.3,2.343,304.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19.1,18.5,2.661,268.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19.8,19.2,2.759,320.6
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,20.4,18.8,2.886,372.8
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,19.2,17.9,2.629,275.7
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18.9,17.3,2.305,255.6
Rabbit Key Basin,2000-03-23,5,1,Turbo castanea,18.2,17,2.167,214.3
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.4,18.5,2.77,372.8
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20,17.7,2.589,337.1
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,17.1,16.7,1.801,162.5
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.2,18.6,2.869,354.5
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.4,18.1,2.595,289.9
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20,18.2,2.626,337.1
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.8,16.5,2.164,249.3
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.1,18.1,2.427,345.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.1,18.6,2.599,345.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.1,16.7,2.045,209
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.4,17.8,2.247,225.4
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.3,17.8,2.434,282.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,21.2,19.6,3.369,455.9
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.7,19.5,2.925,402.1
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.3,19.2,2.972,282.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20,19.7,2.764,337.1
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.5,18.3,2.541,297.3
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.4,18.8,2.455,289.9
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,17.5,16.5,1.714,179.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.4,18.7,2.89,372.8
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,21.6,19,3.101,504.2
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.3,18.7,2.733,363.6
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.9,16.9,2.208,255.6
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.2,17.6,2.352,275.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.9,19,2.785,328.7
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.1,17.7,2.473,268.8
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,20.2,20.5,3.231,354.5
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.2,15.5,2.058,214.3
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.6,18.3,2.63,304.8
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.4,16.2,2.141,225.4
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,17.3,17.6,2.22,170.9
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,18.7,17.4,2.285,243.1
Rabbit Key Basin,2000-03-23,6,1,Turbo castanea,19.7,18,2.834,312.6
Rabbit Key Basin,2000-03-23,2,1,Zafrona taylorae,8.9,4.2,0.086,NA
Rabbit Key Basin,2000-03-23,4,1,Zafrona taylorae,9.5,4.7,0.098,NA
Rabbit Key Basin,2000-06-14,4,1,Astrea phoebia,7.7,12.2,6.238,83
Rabbit Key Basin,2000-06-14,2,1,Columbella rusticoides,15.6,8.4,0.537,NA
Rabbit Key Basin,2000-06-14,6,1,Columbella rusticoides,11.4,5.9,0.17,NA
Rabbit Key Basin,2000-06-14,1,1,Modulus modulus,9.5,14,0.855,61.5
Rabbit Key Basin,2000-06-14,1,1,Modulus modulus,10,13.2,0.773,46.1
Rabbit Key Basin,2000-06-14,1,1,Modulus modulus,7.5,10.6,0.311,18.1
Rabbit Key Basin,2000-06-14,2,1,Modulus modulus,9.9,13.8,0.948,57.3
Rabbit Key Basin,2000-06-14,2,1,Modulus modulus,11.3,12.9,0.885,41.4
Rabbit Key Basin,2000-06-14,2,1,Modulus modulus,7.8,11.2,0.338,22.5
Rabbit Key Basin,2000-06-14,3,1,Modulus modulus,3.6,5.4,0.032,2.8
Rabbit Key Basin,2000-06-14,4,1,Modulus modulus,9.5,13.5,0.757,51.4
Rabbit Key Basin,2000-06-14,4,1,Modulus modulus,9.5,12.7,0.626,38.5
Rabbit Key Basin,2000-06-14,4,1,Modulus modulus,7.1,10.5,0.272,17.5
Rabbit Key Basin,2000-06-14,5,1,Modulus modulus,6.8,9.9,0.248,14.1
Rabbit Key Basin,2000-06-14,5,1,Modulus modulus,10.7,12.9,0.877,41.4
Rabbit Key Basin,2000-06-14,6,1,Modulus modulus,9.8,12.1,0.648,31.1
Rabbit Key Basin,2000-06-14,6,1,Modulus modulus,2.9,4.4,0.023,1.9
Rabbit Key Basin,2000-06-14,1,1,Prunum apicinum,12.6,7.9,0.375,NA
Rabbit Key Basin,2000-06-14,1,1,Tegula fasciata,11.5,14.9,1.329,108.3
Rabbit Key Basin,2000-06-14,1,1,Tegula fasciata,14.4,16.9,2.023,200.4
Rabbit Key Basin,2000-06-14,1,1,Tegula fasciata,5.3,8.1,0.164,13.3
Rabbit Key Basin,2000-06-14,2,1,Tegula fasciata,13.3,15.6,1.618,134.3
Rabbit Key Basin,2000-06-14,2,1,Tegula fasciata,12.7,15.5,1.751,130.2
Rabbit Key Basin,2000-06-14,2,1,Tegula fasciata,7.6,10.8,0.423,30.6
Rabbit Key Basin,2000-06-14,2,1,Tegula fasciata,6.1,9.1,0.24,18.1
Rabbit Key Basin,2000-06-14,3,1,Tegula fasciata,13.4,16.6,1.851,182.7
Rabbit Key Basin,2000-06-14,3,1,Tegula fasciata,6.3,9.5,0.261,20.5
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,12.5,15.4,1.49,126.3
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,12.8,15.9,1.739,147.3
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,7.5,10,0.354,23.9
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,6,9.2,0.229,18.7
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,6,8.5,0.197,15.1
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,4.4,6.6,0.086,8.4
Rabbit Key Basin,2000-06-14,4,1,Tegula fasciata,3,4.8,0.032,4.8
Rabbit Key Basin,2000-06-14,5,1,Tegula fasciata,4.3,6.7,0.097,8.7
Rabbit Key Basin,2000-06-14,5,1,Tegula fasciata,4.6,7.1,0.108,9.8
Rabbit Key Basin,2000-06-14,6,1,Tegula fasciata,13,15.4,1.667,126.3
Rabbit Key Basin,2000-06-14,6,1,Tegula fasciata,12.9,16.1,1.954,156.7
Rabbit Key Basin,2000-06-14,6,1,Tegula fasciata,5.5,9.2,0.234,18.7
Rabbit Key Basin,2000-06-14,6,1,Tegula fasciata,12,14.5,1.427,95.7
Rabbit Key Basin,2000-06-14,6,1,Tegula fasciata,11.5,15.6,1.572,134.3
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,21,18.9,2.994,433.6
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,19.2,17.7,2.305,275.7
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,19.4,17.2,2.371,289.9
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,8,7.5,0.195,16.5
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,8.7,8.5,0.253,19.6
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,5.5,5.3,0.072,8.8
Rabbit Key Basin,2000-06-14,1,1,Turbo castanea,6.7,6.2,0.112,11.9
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,20.4,19.8,3.142,372.8
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,21,18.4,2.957,433.6
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,20.4,18.9,2.905,372.8
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,7.9,7.6,0.184,16.1
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,8,7.2,0.178,16.5
Rabbit Key Basin,2000-06-14,2,1,Turbo castanea,7,6.5,0.142,12.8
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,21.6,19.6,3.393,504.2
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,19.4,18,2.574,289.9
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,18.3,16.1,1.867,219.8
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,18.8,18.8,2.418,249.3
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,19.3,17.2,2.519,282.7
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,18.3,16.7,2.525,219.8
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,6.3,6.1,0.102,10.7
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,6.8,6.7,0.121,12.2
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,8.9,7.9,0.257,20.6
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,9.5,8.2,0.286,24
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,7.4,6.6,0.137,14.2
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,6.1,6,0.096,10.2
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,5.9,5.5,0.081,9.7
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,5.3,5,0.061,8.3
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,4.5,4.3,0.042,6.8
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,4.5,4.3,0.041,6.8
Rabbit Key Basin,2000-06-14,3,1,Turbo castanea,20.6,18.3,2.828,392.1
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,19.5,17.2,2.383,297.3
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,18,17.9,2.384,203.8
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,9,8.2,0.268,21.2
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,3.7,3.9,0.027,5.6
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,5,4.6,0.043,7.7
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,5.3,5,0.066,8.3
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,5.2,5.1,0.058,8.1
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,4.8,4.8,0.046,7.4
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,4.9,4.9,0.058,7.5
Rabbit Key Basin,2000-06-14,4,1,Turbo castanea,3.1,3,0.014,4.8
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,17.8,18.2,2.598,193.8
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,7.9,7.5,0.177,16.1
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,7.2,7.2,0.142,13.5
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,8.2,7.4,0.178,17.3
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,6.3,6,0.087,10.7
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,7.5,6.8,0.145,14.5
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,7.4,7.1,0.13,14.2
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,8.2,7.6,0.189,17.3
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,4,4,0.016,6
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,4.9,5.1,0.057,7.5
Rabbit Key Basin,2000-06-14,5,1,Turbo castanea,3.5,3.7,0.023,5.3
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,20.9,19.2,3.061,422.8
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,19.6,18.8,2.997,304.8
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,20.6,19,2.859,392.1
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,5.9,5.6,0.083,9.7
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,-9999,NA,NA,NA
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,5.3,4.9,0.059,8.3
Rabbit Key Basin,2000-06-14,6,1,Turbo castanea,3.1,3.4,0.021,4.8
Rabbit Key Basin,2000-06-14,4,1,Vexillum sp.,19.9,11.6,NA,NA
Rabbit Key Basin,2000-06-14,4,1,Vexillum sp.,12.7,7.5,NA,NA
Rabbit Key Basin,2000-06-14,5,1,Vexillum sp.,17.2,8.6,NA,NA
Rabbit Key Basin,2000-06-14,3,1,Zafrona taylorae,9.3,4.4,0.098,NA
Rabbit Key Basin,2000-06-14,3,1,Zafrona taylorae,8.4,3.6,0.057,NA
Rabbit Key Basin,2000-06-14,3,1,Zafrona taylorae,5.8,2.5,0.021,NA
Rabbit Key Basin,2000-06-14,5,1,Zafrona taylorae,8,3.1,0.04,NA
Rabbit Key Basin,2000-06-14,5,1,Zafrona taylorae,8.7,3.3,0.05,NA
Rabbit Key Basin,2000-06-14,5,1,Zafrona taylorae,8.4,3.5,0.055,NA
Rabbit Key Basin,2000-06-14,6,1,Zafrona taylorae,9,3.9,0.067,NA
Rabbit Key Basin,2000-08-12,2,1,Astrea phoebia,2.1,8.4,0.037,41
Rabbit Key Basin,2000-08-12,3,1,Astrea phoebia,1.5,6.9,0.024,38
Rabbit Key Basin,2000-08-12,4,1,Astrea phoebia,16.5,31.7,8.149,251.5
Rabbit Key Basin,2000-08-12,5,1,Astrea phoebia,12.8,28,3.415,157.8
Rabbit Key Basin,2000-08-12,1,1,Bittiolum varium,6.5,2.4,0.027,NA
Rabbit Key Basin,2000-08-12,5,1,Bittiolum varium,6.5,2.4,0.028,NA
Rabbit Key Basin,2000-08-12,4,1,Cantharus multangulus,16.1,9.7,NA,NA
Rabbit Key Basin,2000-08-12,5,1,Cantharus multangulus,11.8,7,NA,NA
Rabbit Key Basin,2000-08-12,2,1,Cerithium muscarum,11.2,5.3,0.105,NA
Rabbit Key Basin,2000-08-12,4,1,Cerithium muscarum,17.4,7.4,0.379,NA
Rabbit Key Basin,2000-08-12,4,1,Cerithium muscarum,14.8,6.3,0.235,NA
Rabbit Key Basin,2000-08-12,6,1,Cerithium muscarum,16,6,0.231,NA
Rabbit Key Basin,2000-08-12,6,1,Cerithium muscarum,20.7,7.7,0.476,NA
Rabbit Key Basin,2000-08-12,6,1,Cerithium muscarum,18.8,6.2,0.343,NA
Rabbit Key Basin,2000-08-12,1,1,Columbella rusticoides,7,3.5,0.034,NA
Rabbit Key Basin,2000-08-12,1,1,Columbella rusticoides,3.3,1.8,0.004,NA
Rabbit Key Basin,2000-08-12,4,1,Columbella rusticoides,8.7,4,NA,NA
Rabbit Key Basin,2000-08-12,5,1,Columbella rusticoides,11.3,5.8,0.161,NA
Rabbit Key Basin,2000-08-12,5,1,Columbella rusticoides,8.6,4.4,0.072,NA
Rabbit Key Basin,2000-08-12,6,1,Columbella rusticoides,15,8,0.343,NA
Rabbit Key Basin,2000-08-12,6,1,Columbella rusticoides,13.5,7.3,NA,NA
Rabbit Key Basin,2000-08-12,6,1,Columbella rusticoides,9.7,5,NA,NA
Rabbit Key Basin,2000-08-12,1,1,Modulus modulus,10.1,12.9,0.746,41.4
Rabbit Key Basin,2000-08-12,1,1,Modulus modulus,10.2,14,0.81,61.5
Rabbit Key Basin,2000-08-12,1,1,Modulus modulus,10.3,13.6,0.867,53.3
Rabbit Key Basin,2000-08-12,1,1,Modulus modulus,9.9,13.1,0.718,44.5
Rabbit Key Basin,2000-08-12,1,1,Modulus modulus,10.2,13.8,0.839,57.3
