year,section,species,length_1_mm,weight_g
1987,CC,Cutthroat trout,81,4.5
1987,CC,Cutthroat trout,58,1.7
1987,CC,Cutthroat trout,68,2.45
1987,CC,Cutthroat trout,57,2.15
1987,CC,Cutthroat trout,65,2.7
1987,CC,Cutthroat trout,59,1.65
1987,CC,Cutthroat trout,51,1.45
1987,CC,Cutthroat trout,59,1.25
1987,CC,Cutthroat trout,58,1.25
1987,CC,Cutthroat trout,58,1.85
1987,CC,Cutthroat trout,53,1.65
1987,CC,Cutthroat trout,55,1.75
1987,CC,Cutthroat trout,58,2
1987,CC,Cutthroat trout,55,1.7
1987,CC,Cutthroat trout,57,1.85
1987,CC,Cutthroat trout,61,2.15
1987,CC,Cutthroat trout,98,9.65
1987,CC,Cutthroat trout,92,6.95
1987,CC,Cutthroat trout,92,6.95
1987,CC,Cutthroat trout,121,16.8
1987,CC,Cutthroat trout,106,10
1987,CC,Cutthroat trout,96,7.35
1987,CC,Cutthroat trout,97,8.5
1987,CC,Cutthroat trout,101,8.7
1987,CC,Cutthroat trout,57,2.15
1987,CC,Cutthroat trout,122,15.25
1987,CC,Cutthroat trout,102,11.3
1987,CC,Cutthroat trout,119,18.5
1987,CC,Cutthroat trout,158,33.6
1987,CC,Cutthroat trout,85,5
1987,CC,Cutthroat trout,55,1.65
1987,CC,Cutthroat trout,59,1.85
1987,CC,Cutthroat trout,95,7.2
1987,CC,Cutthroat trout,108,10.45
1987,CC,Cutthroat trout,114,11.7
1987,CC,Cutthroat trout,115,15.5
1987,CC,Cutthroat trout,166,37.15
1987,CC,Cutthroat trout,145,27.8
1987,CC,Cutthroat trout,184,64.2
1987,CC,Cutthroat trout,140,23.4
1987,CC,Cutthroat trout,151,31.2
1987,CC,Cutthroat trout,133,19.5
1987,CC,Cutthroat trout,124,17.15
1987,CC,Cutthroat trout,130,19.25
1987,CC,Cutthroat trout,88,6.5
1987,CC,Cutthroat trout,107,10.65
1987,CC,Cutthroat trout,94,6.85
1987,CC,Cutthroat trout,69,3.5
1987,CC,Cutthroat trout,57,2.2
1987,CC,Cutthroat trout,92,6.05
1987,CC,Cutthroat trout,89,6.55
1987,CC,Cutthroat trout,60,1.95
1987,CC,Cutthroat trout,147,30.15
1987,CC,Cutthroat trout,150,28.1
1987,CC,Cutthroat trout,56,1.8
1987,CC,Cutthroat trout,62,2
1987,CC,Cutthroat trout,53,1.55
1987,CC,Cutthroat trout,57,2.15
1987,CC,Cutthroat trout,52,1.5
1987,CC,Cutthroat trout,101,8.6
1987,CC,Cutthroat trout,100,9.25
1987,CC,Cutthroat trout,112,12.25
1987,CC,Cutthroat trout,136,21.05
1987,CC,Cutthroat trout,133,22.55
1987,CC,Cutthroat trout,94,7.15
1987,CC,Cutthroat trout,52,1.25
1987,CC,Cutthroat trout,97,7.8
1987,CC,Cutthroat trout,106,9.8
1987,CC,Cutthroat trout,85,5.65
1987,CC,Cutthroat trout,105,9.75
1987,CC,Cutthroat trout,143,24
1987,CC,Cutthroat trout,148,28.9
1987,CC,Cutthroat trout,96,7.6
1987,CC,Cutthroat trout,122,15.4
1987,CC,Cutthroat trout,127,17.1
1987,CC,Cutthroat trout,117,13.55
1987,CC,Cutthroat trout,65,2.4
1987,CC,Cutthroat trout,65,2.45
1987,CC,Cutthroat trout,98,9.35
1987,CC,Cutthroat trout,131,21.3
1987,CC,Cutthroat trout,120,15.4
1987,CC,Cutthroat trout,139,27.75
1987,CC,Cutthroat trout,95,8.55
1987,CC,Cutthroat trout,88,6.3
1987,CC,Cutthroat trout,61,2.15
1987,CC,Cutthroat trout,63,2.1
1987,CC,Cutthroat trout,105,10.55
1987,CC,Cutthroat trout,63,2.2
1987,CC,Cutthroat trout,59,2.35
1987,CC,Cutthroat trout,60,1.9
1987,CC,Cutthroat trout,53,1.6
1987,CC,Cutthroat trout,71,3.25
1987,CC,Cutthroat trout,56,1.6
1987,CC,Cutthroat trout,61,2.5
1987,CC,Cutthroat trout,51,1.2
1987,CC,Cutthroat trout,98,8.65
1987,CC,Cutthroat trout,43,0.45
1987,CC,Cutthroat trout,51,1.2
1987,CC,Cutthroat trout,53,1.25
1987,CC,Cutthroat trout,144,25.8
1987,CC,Cutthroat trout,131,20.65
1987,CC,Cutthroat trout,131,19.75
1987,CC,Cutthroat trout,106,9.65
1987,CC,Cutthroat trout,120,14.55
1987,CC,Cutthroat trout,165,40.5
1987,CC,Cutthroat trout,48,1.05
1987,CC,Cutthroat trout,49,1.2
1987,CC,Cutthroat trout,62,2.75
1987,CC,Cutthroat trout,72,3.6
1987,CC,Cutthroat trout,128,19.3
1987,CC,Cutthroat trout,47,1.1
1987,CC,Cutthroat trout,126,18.7
1987,CC,Cutthroat trout,99,8.95
1987,CC,Cutthroat trout,86,6
1987,CC,Cutthroat trout,130,18.65
1987,CC,Cutthroat trout,123,16.7
1987,CC,Cutthroat trout,104,10.05
1987,CC,Cutthroat trout,66,2.55
1987,CC,Cutthroat trout,65,2.75
1987,CC,Cutthroat trout,132,19.55
1987,CC,Cutthroat trout,124,16
1987,CC,Cutthroat trout,123,16.05
1987,CC,Cutthroat trout,95,8.85
1987,CC,Cutthroat trout,63,2.8
1987,CC,Cutthroat trout,107,10.75
1987,CC,Cutthroat trout,91,6.8
1987,CC,Cutthroat trout,93,6.8
1987,CC,Cutthroat trout,102,8.4
1987,CC,Cutthroat trout,92,6.35
1987,CC,Cutthroat trout,91,6.45
1987,CC,Cutthroat trout,60,2.5
1987,CC,Cutthroat trout,53,1.65
1987,CC,Cutthroat trout,60,2
1987,CC,Cutthroat trout,104,12.25
1987,CC,Cutthroat trout,51,1.25
1987,CC,Cutthroat trout,86,6.65
1987,CC,Cutthroat trout,116,14.7
1987,CC,Cutthroat trout,105,10.4
1987,CC,Cutthroat trout,57,1.65
1987,CC,Cutthroat trout,64,2.7
1987,CC,Cutthroat trout,55,1.7
1987,CC,Cutthroat trout,118,14.4
1987,CC,Cutthroat trout,104,9.05
1987,CC,Cutthroat trout,58,1.7
1987,CC,Cutthroat trout,63,2.6
1987,CC,Cutthroat trout,69,3
1987,CC,Cutthroat trout,57,2.2
1987,CC,Cutthroat trout,89,5.9
1987,CC,Cutthroat trout,63,2.95
1987,CC,Cutthroat trout,76,3.65
1987,CC,Cutthroat trout,72,3.35
1987,CC,Cutthroat trout,109,11
1987,CC,Cutthroat trout,108,10.6
1987,CC,Cutthroat trout,112,13.1
1987,CC,Cutthroat trout,145,28.2
1987,CC,Cutthroat trout,86,5.9
1987,CC,Cutthroat trout,81,4.6
1987,CC,Cutthroat trout,97,7.85
1987,CC,Cutthroat trout,96,7.55
1987,CC,Cutthroat trout,99,8.15
1987,CC,Cutthroat trout,129,18.3
1987,CC,Cutthroat trout,142,27
1987,CC,Cutthroat trout,124,16.95
1987,CC,Cutthroat trout,109,11.1
1987,CC,Cutthroat trout,112,12.4
1987,CC,Cutthroat trout,56,2.1
1987,CC,Cutthroat trout,66,3.3
1987,CC,Cutthroat trout,50,1.4
1987,CC,Cutthroat trout,61,2.15
1987,CC,Cutthroat trout,60,2
1987,CC,Cutthroat trout,57,2
1987,CC,Cutthroat trout,52,1.35
1987,CC,Cutthroat trout,60,1.8
1987,CC,Cutthroat trout,59,1.95
1987,CC,Cutthroat trout,59,1.9
1987,CC,Cutthroat trout,100,8.6
1987,CC,Cutthroat trout,101,8.25
1987,CC,Cutthroat trout,116,14
1987,CC,Cutthroat trout,126,17.1
1987,CC,Cutthroat trout,104,10.05
1987,CC,Cutthroat trout,101,9.6
1987,CC,Cutthroat trout,143,24.1
1987,CC,Cutthroat trout,102,8.9
1987,CC,Cutthroat trout,116,14.4
1987,CC,Cutthroat trout,111,10.9
1987,CC,Cutthroat trout,129,22.35
1987,CC,Cutthroat trout,70,3.8
1987,CC,Cutthroat trout,98,8.3
1987,CC,Cutthroat trout,122,15.85
1987,CC,Cutthroat trout,49,1.1
1987,CC,Cutthroat trout,61,1.85
1987,CC,Cutthroat trout,59,2.05
1987,CC,Cutthroat trout,72,3.6
1987,CC,Cutthroat trout,60,2.05
1987,CC,Cutthroat trout,70,3.9
1987,CC,Cutthroat trout,52,1.15
1987,CC,Cutthroat trout,65,3
1987,CC,Cutthroat trout,68,2.7
1987,CC,Cutthroat trout,60,1.85
1987,CC,Cutthroat trout,101,8.7
1987,CC,Cutthroat trout,112,12.35
1987,CC,Cutthroat trout,101,10.05
1987,CC,Cutthroat trout,123,16.8
1987,CC,Cutthroat trout,130,19.8
1987,CC,Cutthroat trout,147,30.7
1987,CC,Cutthroat trout,73,3.5
1987,CC,Cutthroat trout,112,13.4
1987,CC,Cutthroat trout,72,3.7
1987,CC,Cutthroat trout,90,6.8
1987,CC,Cutthroat trout,99,10.3
1987,CC,Cutthroat trout,97,7.6
1987,CC,Cutthroat trout,64,2.65
1987,CC,Cutthroat trout,62,2.25
1987,CC,Cutthroat trout,123,15.45
1987,CC,Cutthroat trout,98,8
1987,CC,Cutthroat trout,100,8.3
1987,CC,Cutthroat trout,100,8
1987,CC,Cutthroat trout,62,2.6
1987,CC,Cutthroat trout,115,15.15
1987,CC,Cutthroat trout,112,12.45
1987,CC,Cutthroat trout,139,23.05
1987,CC,Cutthroat trout,121,15.95
1987,CC,Cutthroat trout,105,10.45
1987,CC,Cutthroat trout,145,27.1
1987,CC,Cutthroat trout,170,39.55
1987,CC,Cutthroat trout,156,33.2
1987,CC,Cutthroat trout,61,2.65
1987,CC,Cutthroat trout,64,3.1
1987,CC,Cutthroat trout,61,2.7
1987,CC,Cutthroat trout,57,2.1
1987,CC,Cutthroat trout,62,2.95
1987,CC,Cutthroat trout,51,1.3
1987,CC,Cutthroat trout,48,1.05
1987,CC,Cutthroat trout,56,1.8
1987,CC,Cutthroat trout,45,0.85
1987,CC,Cutthroat trout,37,0.55
1987,CC,Cutthroat trout,70,3
1987,CC,Cutthroat trout,62,2.15
1987,CC,Cutthroat trout,56,1.75
1987,CC,Cutthroat trout,71,3.2
1987,CC,Cutthroat trout,52,1.5
1987,CC,Cutthroat trout,75,3.55
1987,CC,Cutthroat trout,54,1.55
1987,CC,Cutthroat trout,109,11.3
1987,CC,Cutthroat trout,110,12
1987,CC,Cutthroat trout,96,7.75
1987,CC,Cutthroat trout,99,10
1987,CC,Cutthroat trout,116,13.4
1987,CC,Cutthroat trout,57,2.4
1987,CC,Cutthroat trout,69,3.55
1987,CC,Cutthroat trout,67,3.3
1987,CC,Cutthroat trout,60,2.2
1987,CC,Cutthroat trout,61,2.3
1987,CC,Cutthroat trout,60,2.05
1987,CC,Cutthroat trout,59,2
1987,CC,Cutthroat trout,65,2.65
1987,CC,Cutthroat trout,67,2.75
1987,CC,Cutthroat trout,75,4.1
1987,CC,Cutthroat trout,65,2.85
1987,CC,Cutthroat trout,126,18.75
1987,CC,Cutthroat trout,80,4.45
1987,CC,Cutthroat trout,106,10.6
1987,CC,Cutthroat trout,134,20.8
1987,CC,Cutthroat trout,144,27.6
1987,CC,Cutthroat trout,95,7.05
1987,CC,Cutthroat trout,65,3.1
1987,CC,Cutthroat trout,53,1.7
1987,CC,Cutthroat trout,60,2
1987,CC,Cutthroat trout,133,24.55
1987,CC,Cutthroat trout,139,23.75
1987,CC,Cutthroat trout,101,10.4
1987,CC,Cutthroat trout,63,2.45
1987,CC,Cutthroat trout,64,2.35
1987,CC,Cutthroat trout,69,3
1987,CC,Cutthroat trout,61,2.05
1987,CC,Cutthroat trout,100,9.85
1987,CC,Cutthroat trout,67,3.65
1987,CC,Cutthroat trout,69,3.6
1987,CC,Cutthroat trout,48,1.25
1987,CC,Cutthroat trout,65,3.15
1987,CC,Cutthroat trout,66,2.55
1987,CC,Cutthroat trout,56,2
1987,CC,Cutthroat trout,60,2.4
1987,CC,Cutthroat trout,55,1.65
1987,CC,Cutthroat trout,62,2.7
1987,CC,Cutthroat trout,63,2.8
1987,CC,Cutthroat trout,100,9.7
1987,CC,Cutthroat trout,59,2.1
1987,CC,Cutthroat trout,116,14.25
1987,CC,Cutthroat trout,115,13.25
1987,CC,Cutthroat trout,119,15.15
1987,CC,Cutthroat trout,49,1.15
1987,CC,Cutthroat trout,108,11.65
1987,CC,Cutthroat trout,135,21.55
1987,OG,Cutthroat trout,84,4.4
1987,OG,Cutthroat trout,133,18.05
1987,OG,Cutthroat trout,102,9
1987,OG,Cutthroat trout,83,4.9
1987,OG,Cutthroat trout,83,6.2
1987,OG,Cutthroat trout,90,5.9
1987,OG,Cutthroat trout,127,19.45
1987,OG,Cutthroat trout,56,1.85
1987,OG,Cutthroat trout,55,1.75
1987,OG,Cutthroat trout,87,5.85
1987,OG,Cutthroat trout,91,6.6
1987,OG,Cutthroat trout,92,6.95
1987,OG,Cutthroat trout,100,8.25
1987,OG,Cutthroat trout,57,2.15
1987,OG,Cutthroat trout,53,1.2
1987,OG,Cutthroat trout,122,16.8
1987,OG,Cutthroat trout,76,5.15
1987,OG,Cutthroat trout,75,5.3
1987,OG,Cutthroat trout,79,4.4
1987,OG,Cutthroat trout,127,21.05
1987,OG,Cutthroat trout,130,18.4
1987,OG,Cutthroat trout,79,6.25
1987,OG,Cutthroat trout,108,11.4
1987,OG,Cutthroat trout,74,5.25
1987,OG,Cutthroat trout,153,27.9
1987,OG,Cutthroat trout,121,16.8
1987,OG,Cutthroat trout,105,10.2
1987,OG,Cutthroat trout,122,16.6
1987,OG,Cutthroat trout,147,25.9
1987,OG,Cutthroat trout,101,9
1987,OG,Cutthroat trout,55,2
1987,OG,Cutthroat trout,47,1.45
1987,OG,Cutthroat trout,55,1.75
1987,OG,Cutthroat trout,108,10.9
1987,OG,Cutthroat trout,103,9.3
1987,OG,Cutthroat trout,129,19.2
1987,OG,Cutthroat trout,62,2.15
1987,OG,Cutthroat trout,77,5.75
1987,OG,Cutthroat trout,70,3.5
1987,OG,Cutthroat trout,78,5.9
1987,OG,Cutthroat trout,113,14.85
1987,OG,Cutthroat trout,94,7.5
1987,OG,Cutthroat trout,92,6.85
1987,OG,Cutthroat trout,114,15.05
1987,OG,Cutthroat trout,162,35.9
1987,OG,Cutthroat trout,90,6.4
1987,OG,Cutthroat trout,82,6.7
1987,OG,Cutthroat trout,72,3.2
1987,OG,Cutthroat trout,86,5.75
1987,OG,Cutthroat trout,78,4.5
1987,OG,Cutthroat trout,91,6.95
1987,OG,Cutthroat trout,108,10.35
1987,OG,Cutthroat trout,143,24.15
1987,OG,Cutthroat trout,75,5
1987,OG,Cutthroat trout,83,5.35
1987,OG,Cutthroat trout,111,14.6
1987,OG,Cutthroat trout,109,13.2
1987,OG,Cutthroat trout,52,1.75
1987,OG,Cutthroat trout,106,10.35
1987,OG,Cutthroat trout,92,6.95
1987,OG,Cutthroat trout,127,18.35
1987,OG,Cutthroat trout,55,2.5
1987,OG,Cutthroat trout,90,5.65
1987,OG,Cutthroat trout,87,6.9
1987,OG,Cutthroat trout,71,5.8
1987,OG,Cutthroat trout,90,7.75
1987,OG,Cutthroat trout,76,5.6
1987,OG,Cutthroat trout,116,12.3
1987,OG,Cutthroat trout,109,10.75
1987,OG,Cutthroat trout,102,8.95
1987,OG,Cutthroat trout,91,6.2
1987,OG,Cutthroat trout,101,9.55
1987,OG,Cutthroat trout,143,25.05
1987,OG,Cutthroat trout,49,1.4
1987,OG,Cutthroat trout,102,9.05
1987,OG,Cutthroat trout,162,35.8
1987,OG,Cutthroat trout,124,16.05
1987,OG,Cutthroat trout,93,6.7
1987,OG,Cutthroat trout,100,7.6
1987,OG,Cutthroat trout,75,5.7
1987,OG,Cutthroat trout,106,10.8
1987,OG,Cutthroat trout,99,8.65
1987,OG,Cutthroat trout,62,1.95
1987,OG,Cutthroat trout,61,2.5
1987,OG,Cutthroat trout,66,2.55
1987,OG,Cutthroat trout,59,2.75
1987,OG,Cutthroat trout,56,1.95
1987,OG,Cutthroat trout,91,6.15
1987,OG,Cutthroat trout,51,1.7
1987,OG,Cutthroat trout,67,3
1987,OG,Cutthroat trout,115,12.95
1987,OG,Cutthroat trout,126,17.05
1987,OG,Cutthroat trout,53,1.6
1987,OG,Cutthroat trout,56,1.8
1987,OG,Cutthroat trout,54,1.45
1987,OG,Cutthroat trout,57,1.9
1987,OG,Cutthroat trout,51,1.05
1987,OG,Cutthroat trout,83,4.85
1987,OG,Cutthroat trout,98,8.2
1987,OG,Cutthroat trout,78,3.75
1987,OG,Cutthroat trout,79,5.65
1987,OG,Cutthroat trout,94,7
1987,OG,Cutthroat trout,95,7.35
1987,OG,Cutthroat trout,104,9.25
1987,OG,Cutthroat trout,125,15.35
1987,OG,Cutthroat trout,134,20.2
1987,OG,Cutthroat trout,59,2.5
1987,OG,Cutthroat trout,63,2.55
1987,OG,Cutthroat trout,58,2.65
1987,OG,Cutthroat trout,97,7.95
1987,OG,Cutthroat trout,78,5.8
1987,OG,Cutthroat trout,131,17.85
1987,OG,Cutthroat trout,110,11.7
1987,OG,Cutthroat trout,144,22.25
1987,OG,Cutthroat trout,125,14.95
1987,OG,Cutthroat trout,129,17.55
1987,OG,Cutthroat trout,88,6
1987,OG,Cutthroat trout,133,18.3
1987,OG,Cutthroat trout,120,14
1987,OG,Cutthroat trout,170,43.35
1987,OG,Cutthroat trout,77,4.35
1987,OG,Cutthroat trout,151,30.3
1987,OG,Cutthroat trout,61,2.45
1987,OG,Cutthroat trout,114,14.55
1987,OG,Cutthroat trout,116,13.75
1987,OG,Cutthroat trout,62,2.5
1987,OG,Cutthroat trout,60,2.45
1987,OG,Cutthroat trout,58,1.8
1987,OG,Cutthroat trout,60,2.3
1987,OG,Cutthroat trout,159,36.75
1987,OG,Cutthroat trout,65,2.85
1987,OG,Cutthroat trout,99,7.8
1987,OG,Cutthroat trout,60,2.25
1987,OG,Cutthroat trout,93,7.05
1987,OG,Cutthroat trout,112,15.35
1987,OG,Cutthroat trout,61,3
1987,OG,Cutthroat trout,84,6.5
1987,OG,Cutthroat trout,148,28.4
1987,OG,Cutthroat trout,87,5.75
1987,OG,Cutthroat trout,64,2.95
1987,OG,Cutthroat trout,52,1.45
1987,OG,Cutthroat trout,96,7.85
1987,OG,Cutthroat trout,114,12.9
1987,OG,Cutthroat trout,161,36.85
1987,OG,Cutthroat trout,76,4.7
1987,OG,Cutthroat trout,62,2.25
1987,OG,Cutthroat trout,50,1.35
1987,OG,Cutthroat trout,61,2.6
1987,OG,Cutthroat trout,60,1.7
1987,OG,Cutthroat trout,76,5.4
1987,OG,Cutthroat trout,87,5.8
1987,OG,Cutthroat trout,63,2.35
1987,OG,Cutthroat trout,107,10.4
1987,OG,Cutthroat trout,123,18.35
1987,OG,Cutthroat trout,46,1.1
1987,OG,Cutthroat trout,58,1.85
1987,OG,Cutthroat trout,48,1.3
1987,OG,Cutthroat trout,47,1.1
1987,OG,Cutthroat trout,51,1.5
1987,OG,Cutthroat trout,50,1.45
1987,OG,Cutthroat trout,41,0.6
1987,OG,Cutthroat trout,80,4.5
1987,OG,Cutthroat trout,62,2.35
1987,OG,Cutthroat trout,77,4.2
1987,OG,Cutthroat trout,47,1.15
1987,OG,Cutthroat trout,83,5.3
1987,OG,Cutthroat trout,112,11.65
1987,OG,Cutthroat trout,106,9.65
1987,OG,Cutthroat trout,117,13.1
1987,OG,Cutthroat trout,127,18.65
1987,OG,Cutthroat trout,141,23.85
1987,OG,Cutthroat trout,92,6.65
1987,OG,Cutthroat trout,54,1.5
1987,OG,Cutthroat trout,58,1.85
1987,OG,Cutthroat trout,62,2.65
1987,OG,Cutthroat trout,63,2.35
1987,OG,Cutthroat trout,86,6.15
1987,OG,Cutthroat trout,104,10.7
1987,OG,Cutthroat trout,95,7.1
1987,OG,Cutthroat trout,82,4.6
1987,OG,Cutthroat trout,103,8.65
1987,OG,Cutthroat trout,92,6.4
1987,OG,Cutthroat trout,147,26.65
1987,OG,Cutthroat trout,142,23.8
1987,OG,Cutthroat trout,129,21
1987,OG,Cutthroat trout,160,40.6
1987,OG,Cutthroat trout,47,1.05
1987,OG,Cutthroat trout,62,2.1
1987,OG,Cutthroat trout,97,7.5
1987,OG,Cutthroat trout,52,1.4
1987,OG,Cutthroat trout,88,6.15
1987,OG,Cutthroat trout,93,7.9
1987,OG,Cutthroat trout,124,15.15
1987,OG,Cutthroat trout,134,21.25
1987,OG,Cutthroat trout,51,1.1
1987,OG,Cutthroat trout,55,1.45
1987,OG,Cutthroat trout,96,7.4
1987,OG,Cutthroat trout,105,9.4
1987,OG,Cutthroat trout,150,30.65
1987,OG,Cutthroat trout,51,1.5
1987,OG,Cutthroat trout,116,14.5
1987,OG,Cutthroat trout,117,17.05
1987,OG,Cutthroat trout,57,1.85
1987,OG,Cutthroat trout,100,8.6
1987,OG,Cutthroat trout,50,1.25
1987,OG,Cutthroat trout,52,1.45
1987,OG,Cutthroat trout,102,8.9
1987,OG,Cutthroat trout,124,16.1
1987,OG,Cutthroat trout,123,18.5
1987,OG,Cutthroat trout,48,1.15
1987,OG,Cutthroat trout,122,14.75
1987,OG,Cutthroat trout,113,13.45
1987,OG,Cutthroat trout,116,13.75
1987,OG,Cutthroat trout,54,1.8
1987,OG,Cutthroat trout,58,1.9
1987,OG,Cutthroat trout,105,10.65
1987,OG,Cutthroat trout,52,1.25
1987,OG,Cutthroat trout,121,14.5
1987,OG,Cutthroat trout,54,1.7
1988,CC,Cutthroat trout,141,29.45
1988,CC,Cutthroat trout,97,9.6
1988,CC,Cutthroat trout,129,17.3
1988,CC,Cutthroat trout,128,22.8
1988,CC,Cutthroat trout,96,8.25
1988,CC,Cutthroat trout,100,8.3
1988,CC,Cutthroat trout,106,10.25
1988,CC,Cutthroat trout,120,16.8
1988,CC,Cutthroat trout,88,8.15
1988,CC,Cutthroat trout,148,29.45
1988,CC,Cutthroat trout,96,7.45
1988,CC,Cutthroat trout,110,10.65
1988,CC,Cutthroat trout,122,15.05
1988,CC,Cutthroat trout,98,7.75
1988,CC,Cutthroat trout,108,11.45
1988,CC,Cutthroat trout,169,42
1988,CC,Cutthroat trout,118,14.35
1988,CC,Cutthroat trout,139,28.35
1988,CC,Cutthroat trout,110,10.35
1988,CC,Cutthroat trout,108,10.7
1988,CC,Cutthroat trout,111,12.15
1988,CC,Cutthroat trout,98,7.95
1988,CC,Cutthroat trout,105,9.45
1988,CC,Cutthroat trout,122,15.95
1988,CC,Cutthroat trout,138,22.65
1988,CC,Cutthroat trout,107,10.7
1988,CC,Cutthroat trout,188,56.3
1988,CC,Cutthroat trout,105,9.95
1988,CC,Cutthroat trout,138,23.45
1988,CC,Cutthroat trout,186,60.45
1988,CC,Cutthroat trout,91,6.2
1988,CC,Cutthroat trout,94,6.6
1988,CC,Cutthroat trout,160,38.2
1988,CC,Cutthroat trout,103,8.9
1988,CC,Cutthroat trout,132,19.15
1988,CC,Cutthroat trout,89,6.8
1988,CC,Cutthroat trout,87,5.3
1988,CC,Cutthroat trout,135,20.2
1988,CC,Cutthroat trout,96,7.15
1988,CC,Cutthroat trout,128,17.55
1988,CC,Cutthroat trout,134,19.6
1988,CC,Cutthroat trout,95,7.1
1988,CC,Cutthroat trout,123,15.4
1988,CC,Cutthroat trout,153,30.15
1988,CC,Cutthroat trout,102,8.9
1988,CC,Cutthroat trout,106,11.75
1988,CC,Cutthroat trout,112,12.35
1988,CC,Cutthroat trout,98,8.05
1988,CC,Cutthroat trout,148,30.95
1988,CC,Cutthroat trout,113,12.55
1988,CC,Cutthroat trout,104,10.1
1988,CC,Cutthroat trout,96,7.6
1988,CC,Cutthroat trout,156,32.45
1988,CC,Cutthroat trout,145,29.2
1988,CC,Cutthroat trout,171,44.65
1988,CC,Cutthroat trout,85,4.85
1988,CC,Cutthroat trout,96,8.95
1988,CC,Cutthroat trout,99,9.55
1988,CC,Cutthroat trout,111,10.85
1988,CC,Cutthroat trout,99,7.95
1988,CC,Cutthroat trout,106,10.45
1988,CC,Cutthroat trout,90,7.65
1988,CC,Cutthroat trout,105,9.85
1988,CC,Cutthroat trout,138,24.2
1988,CC,Cutthroat trout,130,19.45
