CommonName,ScientificName,Authorship,ITIS_TSN,NY_Concern,Location,Sample_Date,ChorusCode,ChorusCount,Live_n,Dead_n,AmplectantPairs_N,EggMass_n,Juv_n,Sperm_n,TadLarv_n
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-04-18,NA,NA,2,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1955-04-19,NA,NA,NA,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-04-20,NA,NA,NA,NA,NA,11,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,LongWoodlandPool,1956-03-31,0,NA,0,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,LongWoodlandPool,1956-04-14,4,NA,2,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,LongWoodlandPool,1956-05-03,2,2,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1956-05-03,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1956-05-10,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1957-03-30,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1957-03-31,NA,NA,16,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1957-03-31,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1957-04-02,NA,NA,2,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1957-04-02,1,1,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1957-04-02,NA,NA,5,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1957-04-02,4,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,LongWoodlandPool,1957-04-02,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1957-04-02,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1957-04-03,NA,NA,12,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1957-04-03,NA,NA,27,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1957-04-15,NA,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1957-04-15,NA,NA,5,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1957-04-19,NA,NA,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1957-04-19,NA,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1958-04-05,NA,NA,10,NA,NA,NA,NA,0,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1958-04-06,NA,NA,10,NA,NA,1,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1958-04-06,NA,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1958-04-09,NA,NA,25,NA,NA,5,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1958-04-09,NA,NA,10,NA,NA,NA,NA,2,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1958-04-09,4,NA,3,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1958-04-09,NA,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1958-04-13,NA,NA,15,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1958-04-13,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,LongWoodlandPool,1958-04-13,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1958-04-13,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1958-04-19,NA,NA,15,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1958-04-19,NA,NA,30,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1958-04-22,NA,NA,4,NA,NA,4,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-03-20,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-01,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-02,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-03,NA,NA,25,NA,NA,NA,NA,0,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-04,NA,NA,25,NA,25,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-10,NA,NA,20,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1959-04-10,NA,NA,35,NA,NA,NA,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1959-04-13,NA,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1959-04-16,NA,NA,2,NA,NA,0,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1959-04-17,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1959-04-19,NA,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1959-04-19,NA,NA,2,NA,NA,2,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-03-31,NA,NA,15,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-03-31,NA,NA,7,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-04-01,NA,NA,20,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-04-01,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-04-03,NA,NA,31,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-04-03,NA,NA,7,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-04-04,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-04-04,NA,NA,0,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1960-04-04,4,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-04-08,NA,NA,10,NA,NA,2,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-04-08,NA,NA,6,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1960-04-15,NA,NA,2,NA,NA,2,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1960-04-15,4,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1960-04-15,NA,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Canaan,1960-04-15,NA,NA,2,NA,NA,1,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Canaan,1960-04-15,NA,NA,3,NA,NA,2,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-03-28,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-03-29,NA,NA,30,NA,NA,NA,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-03-29,NA,NA,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1961-03-30,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-04-01,NA,NA,30,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-01,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-04-12,NA,NA,25,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-12,NA,NA,0,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1961-04-12,4,NA,3,NA,NA,2,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-04-15,NA,NA,2,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1961-04-15,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-15,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-04-16,NA,NA,5,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-16,NA,NA,45,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-17,NA,NA,2,NA,NA,NA,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1961-04-18,NA,NA,4,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1961-04-18,1,1,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1961-04-18,NA,NA,120,NA,NA,2,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1962-03-30,NA,NA,12,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1962-03-30,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1962-03-31,NA,NA,50,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1962-03-31,0,NA,2,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1962-04-04,0,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1962-04-04,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1962-04-06,NA,NA,1,NA,NA,2,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1962-04-06,4,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1962-04-06,NA,NA,60,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1963-03-30,4,NA,10,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1963-03-31,NA,NA,2,NA,NA,2,NA,0,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1963-03-31,NA,NA,3,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1963-04-21,NA,NA,NA,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1963-04-21,NA,NA,NA,NA,NA,2,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1964-04-08,4,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1965-04-08,NA,NA,5,NA,NA,2,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1965-04-08,4,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1965-04-08,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1965-04-16,NA,NA,32,NA,NA,1,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1966-03-25,NA,NA,2,NA,NA,NA,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1966-04-25,NA,NA,2,NA,NA,NA,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1967-04-03,NA,NA,5,NA,NA,NA,NA,0,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1967-04-03,NA,NA,15,NA,NA,NA,NA,0,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1968-03-26,NA,NA,20,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1968-03-26,NA,NA,0,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1968-04-03,1,1,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1968-04-03,NA,NA,20,NA,NA,1,NA,1,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,NorthMudPond,1968-04-03,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,NorthMudPond,1968-04-03,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1969-04-03,NA,NA,NA,NA,NA,2,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1970-04-12,4,NA,75,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1970-04-13,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1971-04-09,NA,NA,0,NA,NA,1,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1971-04-09,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1973-03-10,NA,NA,1,NA,NA,0,NA,0,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1973-03-10,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1973-03-12,NA,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1973-03-17,NA,NA,2,NA,NA,NA,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1973-03-17,NA,NA,2,NA,NA,NA,NA,2,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Bonticou,1973-03-17,4,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1973-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-03-08,NA,NA,NA,NA,NA,NA,NA,0,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1974-03-08,NA,NA,NA,NA,NA,NA,NA,0,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-03-18,NA,NA,0,NA,NA,0,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1974-03-18,0,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1974-03-18,NA,NA,0,NA,NA,NA,NA,0,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1974-03-23,0,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-03-24,NA,NA,0,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1974-03-24,4,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1974-03-24,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-04-02,NA,NA,0,NA,NA,4,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-04-04,NA,NA,0,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1974-04-04,1,1,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1974-04-04,NA,NA,8,NA,NA,0,NA,0,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1974-04-15,NA,NA,NA,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1974-04-15,NA,NA,NA,NA,NA,2,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-03-22,NA,NA,2,NA,NA,2,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-03-22,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Canaan,1975-03-22,NA,NA,NA,NA,NA,NA,NA,2,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-03-23,NA,NA,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-03-23,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,LongWoodlandPool,1975-03-23,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-03-24,NA,NA,7,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-03-24,NA,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-03-25,NA,NA,20,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-03-25,NA,NA,2,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,LongWoodlandPool,1975-03-25,4,NA,2,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-04-01,NA,NA,0,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1975-04-01,3,NA,5,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-04-01,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1975-04-07,NA,NA,0,NA,NA,3,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1975-04-07,NA,NA,0,NA,NA,3,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1975-04-10,1,1,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1976-03-25,NA,NA,7,NA,NA,2,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1976-03-25,NA,NA,0,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,LongWoodlandPool,1976-03-25,4,NA,2,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Bonticou,1976-03-26,4,NA,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1976-03-27,NA,NA,55,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1976-03-28,NA,NA,NA,NA,NA,NA,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1976-04-01,NA,NA,8,NA,NA,0,NA,2,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1976-04-05,NA,NA,NA,NA,NA,80,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,LongWoodlandPool,1976-04-05,NA,NA,NA,NA,NA,5,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,LongWoodlandPool,1977-03-15,4,NA,1,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Bonticou,1977-03-16,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Bonticou,1977-03-16,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,Canaan,1977-03-25,NA,NA,6,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,Canaan,1977-03-25,NA,NA,10,NA,NA,NA,NA,NA,NA
Blue-Spotted Salamander,Ambystoma laterale,Hallowell 1856,173599,1,LongWoodlandPool,1977-03-31,NA,NA,0,NA,NA,NA,NA,NA,NA
Jefferson Salamander,Ambystoma jeffersonianum,Green 1827,173598,1,LongWoodlandPool,1977-03-31,NA,NA,0,NA,NA,NA,NA,NA,NA
Marbled Salamander,Ambystoma opacum,Gravenhorst 1807,173591,1,LongWoodlandPool,1977-03-31,NA,NA,0,NA,NA,NA,NA,NA,NA
