Location,Sample_Date,Sky_Code,Wind_Code,PDP,Air_Temp_C,Water_Temp_C,pH,Water_Depth,Water_Level,Visibility_Imp,Surface_Ice,Surface_Veg,SurfaceVeg_Spp,Odor,Shrimp,Snails,Turbidity_NTU,Chloride,Conductivity,DO,Nitrate
Bonticou,1959-04-03,NA,NA,1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-04,NA,NA,1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-10,5,NA,1,6.1,0.6,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-13,NA,NA,0,-0.3,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-16,NA,NA,0,15.6,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1959-04-17,NA,NA,0,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-19,NA,NA,0,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-03-31,NA,NA,1,11.9,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-04-01,NA,NA,1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-04-03,5,NA,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-04-04,NA,NA,1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-04-08,8,NA,1,7.2,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1960-04-15,NA,NA,0,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1960-04-15,NA,NA,0,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-03-28,1,NA,0,11.9,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-03-29,NA,NA,0,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1961-03-30,NA,NA,0,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-01,8,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-12,NA,NA,1,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-15,NA,NA,1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-16,5,NA,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-17,NA,NA,1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1961-04-18,5,NA,0,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1962-03-30,5,NA,0,15,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1962-03-31,5,NA,1,12.2,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1962-04-04,NA,NA,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1962-04-06,5,NA,0,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1963-03-30,NA,NA,0,6.9,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1963-03-31,NA,NA,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1963-04-21,NA,NA,1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1964-04-08,NA,NA,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1965-04-08,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1965-04-16,5,NA,1,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1966-03-25,NA,NA,1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1966-04-25,NA,NA,1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1967-04-03,NA,NA,1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1968-03-26,5,NA,0,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1968-04-03,NA,NA,0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1968-04-03,NA,NA,0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1969-04-03,NA,NA,1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1970-04-12,NA,NA,0,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1970-04-13,NA,NA,0,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1971-04-09,NA,NA,0,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1973-03-10,NA,NA,0,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1973-03-12,NA,NA,1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1973-03-17,5,NA,1,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1973-04-01,NA,NA,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-03-08,NA,NA,1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-03-18,NA,NA,1,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-03-23,NA,NA,0,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-03-24,2,NA,1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-04-02,NA,NA,0,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-04-04,5,NA,0,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1974-04-15,NA,NA,0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-03-22,5,NA,0,2.8,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1975-03-22,NA,NA,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-03-23,0,NA,0,5.6,2.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1975-03-23,NA,NA,0,5.6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-03-24,6,NA,1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-03-25,5,NA,1,0.3,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1975-03-25,NA,NA,1,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1975-03-30,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-04-01,NA,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-04-07,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1975-04-10,NA,NA,0,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-03-25,NA,NA,0,10,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1976-03-25,NA,NA,0,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-03-26,NA,NA,0,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-03-27,5,NA,0,8.9,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-03-28,NA,NA,0,8.1,11.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermits,1976-03-30,NA,NA,NA,NA,12.2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1976-03-30,NA,NA,NA,NA,15.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-03-31,NA,NA,NA,NA,8.3,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-04-01,NA,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-04-02,NA,NA,NA,NA,6.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1976-04-05,NA,NA,0,6.1,12.8,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1976-04-05,NA,NA,0,6.1,12.2,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1976-04-18,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-13,5,NA,1,NA,3.9,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-03-13,5,NA,1,NA,6.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-15,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermits,1977-03-15,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-03-15,NA,NA,1,6.7,8.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-16,NA,NA,0,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-17,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1977-03-23,0,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1977-03-25,NA,NA,0,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-27,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-28,5,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1977-03-29,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-03-30,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermits,1977-03-31,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-03-31,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1977-03-31,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-01,NA,NA,1,4.4,7.8,6.4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-02,5,NA,0,4.7,NA,6.2,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1977-04-02,5,NA,0,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-04-03,NA,NA,1,7.8,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-04,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-05,5,NA,1,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-04-05,5,NA,1,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-07,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-15,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1977-04-15,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-19,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-04-19,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-24,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-04-25,5,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1977-04-25,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1977-05-06,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1977-05-15,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1977-05-16,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-01-19,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-01-21,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-03-28,NA,NA,1,5,NA,6,NA,100,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-01,NA,NA,0,11.4,NA,5.9,NA,100,NA,75,NA,NA,None,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-02,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-03,NA,NA,0,-1.1,NA,6.3,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-05,NA,NA,0,4.7,NA,6.1,NA,100,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canaan,1978-04-05,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-05,NA,NA,0,4.7,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-07,5,NA,0,8.1,NA,6.4,NA,100,NA,NA,NA,NA,Sulfur,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-07,NA,NA,0,8.1,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-08,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hermits,1978-04-08,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-08,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-04-08,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-12,NA,NA,0,9.7,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SleepyHollow,1978-04-12,NA,NA,0,9.7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-13,NA,NA,1,13.1,NA,6.3,NA,NA,NA,NA,NA,NA,Sulfur,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-13,NA,NA,1,13.1,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-16,NA,NA,0,4.2,NA,6.4,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA
Hermits,1978-04-16,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-16,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-04-16,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SleepyHollow,1978-04-16,NA,NA,0,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrace,1978-04-16,NA,NA,0,4.2,NA,6.7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-04-18,NA,NA,0,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-19,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-04-19,5,NA,1,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-04-20,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-04-21,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-04-21,5,NA,1,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-05-02,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-05-02,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1978-05-05,NA,NA,0,5.8,NA,6.6,NA,100,NA,NA,NA,NA,Sulfur,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1978-05-05,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NorthMudPond,1978-05-06,5,NA,1,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
